providlyear;ns;ew;objekt;typmetod;Ag (ppb);Al (ppm);As (ppm);Au (ppb);Ba (ppm);Be (ppm);Bi (ppm);Ca (ppm);Cd (ppm);Ce (ppm);Co (ppm);Cr (ppm);Cs (ppm);Cu (ppm);Dy (ppm);Er (ppm);Eu (ppm);Fe (ppm);Ga (ppm);Gd (ppm);Hf (ppm);Ho (ppm);K (ppm);La (ppm);Li (ppm);Lu (ppm);Mg (ppm);Mn (ppm);Mo (ppm);Na (ppm);Nb (ppm);Nd (ppm);Ni (ppm);P (ppm);Pb (ppm);Pd (ppb);Pr (ppm);Rb (ppm);Rh (ppb);S (ppm);Sb (ppm);Sc (ppm);Sm (ppm);Sn (ppm);Sr (ppm);Tb (ppm);Te (ppb);Th (ppm);Ti (ppm);Tl (ppm);Tm (ppm);U (ppm);V (ppm);W (ppm);Y (ppm);Yb (ppm);Zn (ppm);Zr (ppm)
198381616;6911840;552747;KJPA;ICPALSX;;24896.0996;4.6950;;90.7040;1.5410;1.3720;4057.1101;0.1100;85.5320;15.4500;51.2380;5.8650;27.3660;4.0470;1.9310;0.6530;27410.4004;8.2880;5.2590;0.5490;0.7430;4393.6699;36.1730;39.3070;0.2140;7482.3799;437.8330;0.2560;406.3500;3.7400;33.0720;41.4800;1024.0700;12.2830;98.4000;8.8950;62.3690;;47.8190;0.1010;6.7140;6.5530;2.2410;21.5210;0.7680;;14.8900;2354.1899;0.5010;0.2480;4.7710;53.2640;1.1700;19.3700;1.5120;69.3100;20.6590
198381616;6911840;552747;KJPA;ICPSGUX;47.5420;;;0.7980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.3290;;;;;;;;17.6370;;;;;;;;;;;
198381644;6911241;563222;KJPA;ICPALSX;;19607.4004;2.4950;;58.2200;0.6590;0.2640;3648.6499;0.0728;60.9540;10.2800;27.5590;3.0790;18.9590;3.3700;1.7000;0.6400;22066.6992;5.3470;4.4020;0.1900;0.6550;1699.1100;27.9980;19.4310;0.1950;4874.8799;311.2320;0.3170;283.1930;3.1870;25.8160;28.6240;705.1060;6.9700;31.4000;6.9830;24.6020;;58.2020;0.1030;5.3170;5.1420;1.2350;19.2450;0.6120;;8.4010;1626.7200;0.2510;0.2170;1.6560;39.7550;0.6490;16.7570;1.3440;40.4010;8.0650
198381644;6911241;563222;KJPA;ICPSGUX;37.6120;;;0.4120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.9720;;;;;;;;18.9410;;;;;;;;;;;
198381674;6898848;551045;KJPA;ICPALSX;;20475.5000;7.0710;;66.6000;0.8610;0.3630;4641.0601;0.0626;68.9270;10.8050;46.4620;4.9640;22.6460;3.7090;1.8450;0.7480;25504.9004;6.9380;5.1050;0.3640;0.6950;2640.0100;31.3830;29.8960;0.2220;7249.4302;370.9470;0.3620;272.7240;2.1750;28.5230;24.5950;473.6270;10.5070;97.4000;7.5470;40.3970;;25.5030;0.1670;6.8580;5.4050;1.8730;25.6790;0.6940;;9.8710;2351.0901;0.3550;0.2480;1.9620;48.2480;0.7650;19.7360;1.6180;49.8310;16.0510
198381674;6898848;551045;KJPA;ICPSGUX;50.0520;;;1.2780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.0120;;;;;;;;18.5360;;;;;;;;;;;
198381689;6899154;563982;KJPA;ICPALSX;;14805.7002;5.3020;;40.4260;0.5770;0.3890;4686.3501;0.1160;76.1470;9.9060;29.2630;3.1920;17.9320;4.1530;2.0920;0.7280;19466.6992;4.8550;5.1580;0.4050;0.7940;2010.5100;30.9760;19.5360;0.2390;5212.6299;497.7320;0.2970;359.7860;3.3630;29.6160;25.1740;911.4000;8.8420;72.6000;7.7390;25.6510;;36.3430;0.1410;4.7590;6.0570;1.5380;21.2090;0.7420;;10.4220;1721.9301;0.2930;0.2750;1.8930;37.0000;1.1140;20.3050;1.7160;37.8880;13.7290
198381689;6899154;563982;KJPA;ICPSGUX;45.4330;;;0.2360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.9770;;;;;;;;18.8800;;;;;;;;;;;
198381700;6899700;542796;KJPA;ICPALSX;;19903.6992;4.4880;;59.6090;0.7440;0.3360;3854.3001;0.1340;86.7990;9.4620;45.5030;3.8170;18.4790;4.4110;2.3320;0.8400;24399.0996;6.8090;5.3980;0.3710;0.8620;2200.9099;35.0910;23.6760;0.2890;6144.2998;315.5500;0.3920;318.8360;3.2020;32.6470;21.8450;512.1740;12.7190;49.7000;8.7050;34.4890;;65.5690;0.1610;6.3230;6.4400;2.0330;26.6270;0.7900;;12.0150;2280.7100;0.4060;0.3140;2.1040;46.0140;1.0070;20.7880;2.0280;48.9570;11.9770
198381700;6899700;542796;KJPA;ICPSGUX;66.8780;;;1.1290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.0940;;;;;;;;20.5710;;;;;;;;;;;
